List of Detroit Red Wings players - Wikipedia
=============================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Brad Park | D | 1983–1985
Joe Paterson | LW | 1980–1984
George Patterson | LW | 1934–1935
Butch Paul | C | 1964–1965
Marty Pavelich | LW | 1947–1957
Jim Pavese | D | 1987–1989
Mark Pederson | LW | 1993–1994
Bert Peer | RW | 1939–1940
Jimmy Peters, Sr. | RW | 1949–1954
Jimmy Peters, Jr. | C | 1964–1968
Brent Peterson | C | 1978–1982
Gord Pettinger | C | 1933–1938
Robert Picard | D | 1989–1990
Joseph Pirus | RW | 1979–1980
Robert Plumb | LW | 1977–1979
Nels Podolsky | LW | 1948–1949
Bud Poile | RW | 1948–1949
Don Poile | C | 1954–1958
Dennis Polonich | C | 1974–1983
Poul Popiel | D | 1968–1970
Marc Potvin | RW | 1990–1992
Dean Prentice | LW | 1965–1969
Noel Price | D | 1961–1962
Keith Primeau | C | 1990–1996
Bob Probert | LW | 1985–1994
Marcel Pronovost | D | 1949–1965
Andre Pronovost | LW | 1962–1965
Metro Prystai | C | 1950–1958
Matt Puempel | LW | 2018–2019
Teemu Pulkkinen | LW | 2013–2016
Fido Purpur | RW | 1944–45
Jamie Pushor | D | 1995–1998
Frederick Pyatt | C | 1973–1975
Bill Quackenbush | D | 1942–1949
Kyle Quincey | D | 2005–20082011–2016
Yves Racine | D | 1989–1993
Brian Rafalski | D | 2007–2011
Clare Raglan | D | 1950–1951
Mike Ramsey | D | 1994–1997
Michael Rasmussen | C | 2018–2019
Matt Ravlich | D | 1969–1970
Marc Reaume | D | 1959–1961
Billy Reay | C | 1943–1945
