List of New York Islanders players - Wikipedia
==============================================
Goaltenders
___________
Player Name     |     Nationality     |     Seasons
Jason Widmer | Canada | 1994—1996
Jason Wiemer | Canada | 2002—2004
James Wisniewski | United States | 2010—2011
Brendan Witt | Canada | 2006—2010
Randy Wood | United States | 1986—1997
Alexei Yashin | Russia | 2001—2007
Mike York | United States | 2005—2007
Richard Zednik | Slovakia | 2006—2007
Alexei Zhitnik | Ukraine | 2005—2007
Marek Zidlicky | Czech Republic | 2015—2016
Harry Zolnierczyk | Canada | 2014—2015


Total Goaltenders: 51
Total Skaters: 495
